import time: self [us] | cumulative | imported package
import time:       972 |        972 |                 pandas.core.ops.invalid
import time:      1656 |      11380 |               pandas.core.ops.array_ops
import time:       981 |        981 |               pandas.core.ops.common
import time:      1165 |       1165 |               pandas.core.ops.docstrings
import time:      1095 |       1095 |               pandas.core.ops.mask_ops
import time:      1760 |      16379 |             pandas.core.ops
import time:      1543 |       1543 |             pandas.core.arraylike
import time:      1288 |       1288 |             pandas.core.arrays._arrow_string_mixins
import time:      1176 |       1176 |             pandas.core.arrays._utils
import time:      1035 |       1035 |                 pandas.util._validators
import time:      1334 |       2369 |               pandas.compat.numpy.function
import time:       910 |        910 |               pandas.core.array_algos.quantile
import time:      2184 |       2184 |               pandas.core.sorting
import time:      1824 |       7285 |             pandas.core.arrays.base
import time:      2366 |       2366 |               pandas.core.nanops
import time:      1156 |       1156 |               pandas.core.array_algos.masked_accumulations
import time:       747 |        747 |               pandas.core.array_algos.masked_reductions
import time:      1217 |       1217 |               pandas.core.array_algos.transforms
import time:      1328 |       1328 |                 pandas.core.util
import time:      1475 |       1475 |                 pandas._libs.hashing
import time:      1971 |       4774 |               pandas.core.util.hashing
import time:      2176 |      12433 |             pandas.core.arrays.masked
import time:      1497 |       1497 |               pandas._libs.arrays
import time:      1142 |       1142 |                 pandas.core.arrays.numeric
import time:      1329 |       2471 |               pandas.core.arrays.floating
import time:      1228 |       1228 |               pandas.core.arrays.integer
import time:      1668 |       1668 |                 pandas.core.arrays._mixins
import time:      1552 |       1552 |                   pandas.core.strings
import time:      1628 |       3180 |                 pandas.core.strings.object_array
import time:      1278 |       6126 |               pandas.core.arrays.numpy_
import time:      1363 |       1363 |               pandas.io.formats
import time:      1176 |       1176 |                       _compression
import time:      3560 |       3560 |                       _bz2
import time:      1451 |       6186 |                     bz2
import time:      4904 |       4904 |                       _lzma
import time:      1450 |       6353 |                     lzma
import time:      1767 |      14306 |                   shutil
import time:      1123 |      15428 |                 pandas.io.formats.console
import time:      1549 |      16977 |               pandas.io.formats.printing
import time:      2001 |      31660 |             pandas.core.arrays.string_
import time:      1497 |       1497 |               pandas.tseries
import time:      1609 |       3106 |             pandas.tseries.frequencies
import time:      2925 |      93327 |           pandas.core.arrays.arrow.array
import time:      1854 |      96721 |         pandas.core.arrays.arrow
import time:      1171 |       1171 |         pandas.core.arrays.boolean
import time:       103 |        103 |             _csv
import time:      1353 |       1455 |           csv
import time:      1071 |       1071 |           pandas.core.accessor
import time:      1147 |       1147 |           pandas.core.base
import time:      2682 |       6354 |         pandas.core.arrays.categorical
import time:      1620 |       1620 |           pandas._libs.tslib
import time:       921 |        921 |             pandas.core.array_algos.datetimelike_accumulations
import time:      2053 |       2974 |           pandas.core.arrays.datetimelike
import time:       712 |        712 |           pandas.core.arrays._ranges
import time:       978 |        978 |           pandas.tseries.offsets
import time:      1675 |       7957 |         pandas.core.arrays.datetimes
import time:      1264 |       1264 |           pandas.core.arrays.timedeltas
import time:      1977 |       3241 |         pandas.core.arrays.interval
import time:      1375 |       1375 |         pandas.core.arrays.period
import time:      3116 |       3116 |               pandas._libs.sparse
import time:      1450 |       4565 |             pandas.core.arrays.sparse.array
import time:      1300 |       5864 |           pandas.core.arrays.sparse.accessor
import time:      1508 |       7371 |         pandas.core.arrays.sparse
import time:      1095 |       1095 |         pandas.core.arrays.string_arrow
import time:      3255 |     128537 |       pandas.core.arrays
import time:       943 |        943 |       pandas.core.flags
import time:      1089 |       1089 |             copy
import time:      1603 |       2691 |           dataclasses
import time:      2917 |       2917 |             pandas._libs.internals
import time:      1641 |       1641 |               pandas.core._numba
import time:       993 |        993 |               pandas.core.util.numba_
import time:      1287 |       3921 |             pandas.core._numba.executor
import time:      1645 |       8482 |           pandas.core.apply
import time:      1645 |       1645 |             pandas.errors.cow
import time:        68 |         68 |                     _json
import time:       987 |       1055 |                   json.scanner
import time:      1288 |       2342 |                 json.decoder
import time:      1338 |       1338 |                 json.encoder
import time:      1794 |       5473 |               json
import time:      1708 |       1708 |                 pandas._libs.indexing
import time:      2222 |       2222 |                   pandas.core.indexes
import time:      3907 |       3907 |                     pandas._libs.index
import time:      1640 |       1640 |                     pandas._libs.writers
import time:      3791 |       3791 |                     pandas._libs.join
import time:      1147 |       1147 |                     pandas.core.array_algos.putmask
import time:      1472 |       1472 |                     pandas.core.indexes.frozen
import time:      2345 |       2345 |                     pandas.core.strings.accessor
import time:      3063 |      17364 |                   pandas.core.indexes.base
import time:      1233 |       1233 |                     pandas.core.indexes.extension
import time:      1825 |       3058 |                   pandas.core.indexes.category
import time:      1614 |       1614 |                       pandas.core.indexes.range
import time:      1743 |       1743 |                         pandas.core.tools
import time:      1493 |       3235 |                       pandas.core.tools.timedeltas
import time:      1617 |       6465 |                     pandas.core.indexes.datetimelike
import time:      1105 |       1105 |                     pandas.core.tools.times
import time:      2136 |       9706 |                   pandas.core.indexes.datetimes
import time:      2281 |       2281 |                     pandas.core.indexes.multi
import time:      1552 |       1552 |                     pandas.core.indexes.timedeltas
import time:      1828 |       5660 |                   pandas.core.indexes.interval
import time:      3358 |       3358 |                   pandas.core.indexes.period
import time:      1786 |      43151 |                 pandas.core.indexes.api
import time:      2403 |      47261 |               pandas.core.indexing
import time:      1392 |       1392 |               pandas.core.sample
import time:      1292 |       1292 |               pandas.core.array_algos.replace
import time:      2577 |       2577 |                   pandas.core.internals.blocks
import time:      2330 |       4907 |                 pandas.core.internals.api
import time:      1322 |       1322 |                     pandas.core.internals.ops
import time:      2751 |       4072 |                   pandas.core.internals.managers
import time:      1753 |       5825 |                 pandas.core.internals.concat
import time:      2670 |      13402 |               pandas.core.internals
import time:      1667 |       1667 |                 pandas.core.methods
import time:      1705 |       1705 |                   pandas.core.reshape
import time:      2207 |       3911 |                 pandas.core.reshape.concat
import time:      1382 |       1382 |                     gzip
import time:       370 |        370 |                     mmap
import time:       416 |        416 |                       pwd
import time:       297 |        297 |                       grp
import time:      2212 |       2924 |                     tarfile
import time:      1098 |       1098 |                         zipfile._path.glob
import time:      2356 |       3454 |                       zipfile._path
import time:      2213 |       5667 |                     zipfile
import time:      3036 |      13376 |                   pandas.io.common
import time:      2230 |      15606 |                 pandas.io.formats.format
import time:      1816 |      22999 |               pandas.core.methods.describe
import time:      1165 |       1165 |               pandas.core.shared_docs
import time:       965 |        965 |                     pandas._libs.window
import time:      6576 |       7541 |                   pandas._libs.window.aggregations
