import time: self [us] | cumulative | imported package
import time:      2519 |       2519 |                     pandas._libs.index
import time:      1362 |       1362 |                     pandas._libs.writers
import time:      2631 |       2631 |                     pandas._libs.join
import time:      1431 |       1431 |                     pandas.core.array_algos.putmask
import time:      1784 |       1784 |                     pandas.core.indexes.frozen
import time:      2703 |       2703 |                     pandas.core.strings.accessor
import time:      5236 |      17662 |                   pandas.core.indexes.base
import time:      1768 |       1768 |                     pandas.core.indexes.extension
import time:      2832 |       4600 |                   pandas.core.indexes.category
import time:      2433 |       2433 |                       pandas.core.indexes.range
import time:      1483 |       1483 |                         pandas.core.tools
import time:      1925 |       3407 |                       pandas.core.tools.timedeltas
import time:      1987 |       7826 |                     pandas.core.indexes.datetimelike
import time:      1823 |       1823 |                     pandas.core.tools.times
import time:      3434 |      13082 |                   pandas.core.indexes.datetimes
import time:      3067 |       3067 |                     pandas.core.indexes.multi
import time:      2093 |       2093 |                     pandas.core.indexes.timedeltas
import time:      2650 |       7810 |                   pandas.core.indexes.interval
import time:      3313 |       3313 |                   pandas.core.indexes.period
import time:      2655 |      50614 |                 pandas.core.indexes.api
import time:      7153 |      59941 |               pandas.core.indexing
import time:      1495 |       1495 |               pandas.core.sample
import time:      1085 |       1085 |               pandas.core.array_algos.replace
import time:      2373 |       2373 |                   pandas.core.internals.blocks
import time:      1650 |       4023 |                 pandas.core.internals.api
import time:      1937 |       1937 |                     pandas.core.internals.ops
import time:      2976 |       4912 |                   pandas.core.internals.managers
import time:      1271 |       6183 |                 pandas.core.internals.concat
import time:      1050 |      11255 |               pandas.core.internals
import time:      1526 |       1526 |                 pandas.core.methods
import time:      1141 |       1141 |                   pandas.core.reshape
import time:      2161 |       3302 |                 pandas.core.reshape.concat
import time:      2948 |       2948 |                     gzip
import time:       180 |        180 |                     mmap
import time:      1134 |       1134 |                       pwd
import time:       632 |        632 |                       grp
import time:      3495 |       5260 |                     tarfile
import time:      1765 |       1765 |                         zipfile._path.glob
import time:      2002 |       3767 |                       zipfile._path
import time:      2809 |       6575 |                     zipfile
import time:      4497 |      19459 |                   pandas.io.common
import time:      3099 |      22557 |                 pandas.io.formats.format
import time:      2610 |      29994 |               pandas.core.methods.describe
import time:      1641 |       1641 |               pandas.core.shared_docs
import time:      1066 |       1066 |                     pandas._libs.window
import time:      3414 |       4480 |                   pandas._libs.window.aggregations
import time:      1206 |       1206 |                     pandas._libs.window.indexers
import time:      1527 |       2732 |                   pandas.core.indexers.objects
import time:      1068 |       1068 |                   pandas.core.window.common
import time:      1009 |       1009 |                   pandas.core.window.numba_
import time:       843 |        843 |                   pandas.core.window.online
import time:      2413 |       2413 |                   pandas.core.window.rolling
import time:      1876 |      14417 |                 pandas.core.window.ewm
import time:      1748 |       1748 |                 pandas.core.window.expanding
import time:      1113 |      17278 |               pandas.core.window
import time:      5516 |     138290 |             pandas.core.generic
import time:      1954 |       1954 |             pandas.core.internals.construction
import time:      1470 |       1470 |             pandas.core.methods.selectn
import time:      1643 |       1643 |               pandas.core.tools.numeric
import time:      1460 |       3103 |             pandas.core.reshape.melt
import time:      1522 |       1522 |               pandas._libs.reshape
import time:      2177 |       2177 |               pandas.core.indexes.accessors
import time:      2351 |       2351 |                 pandas.arrays
import time:      3325 |       5676 |               pandas.core.tools.datetimes
import time:      2484 |       2484 |               pandas.io.formats.info
import time:      1483 |       1483 |                 pandas.plotting._core
import time:      1043 |       1043 |                 pandas.plotting._misc
import time:      1177 |       3701 |               pandas.plotting
import time:      8540 |      24098 |             pandas.core.series
import time:     13775 |     184750 |           pandas.core.frame
import time:      3219 |       3219 |           pandas.core.groupby.base
import time:      2292 |       2292 |             pandas._libs.groupby
import time:      2599 |       2599 |             pandas.core.groupby.numba_
import time:      1073 |       1073 |                 pandas.core.groupby.categorical
import time:      1822 |       2894 |               pandas.core.groupby.grouper
import time:      2602 |       5496 |             pandas.core.groupby.ops
import time:      2044 |       2044 |             pandas.core.groupby.indexing
import time:      3875 |      16304 |           pandas.core.groupby.groupby
import time:      5666 |     226023 |         pandas.core.groupby.generic
import time:      1177 |     227200 |       pandas.core.groupby
import time:      1961 |     474635 |     pandas.core.api
import time:      1774 |       1774 |     pandas.tseries.api
import time:      1423 |       1423 |             pandas.core.computation.common
import time:      1523 |       2945 |           pandas.core.computation.align
import time:      1836 |       1836 |               pprint
import time:      1424 |       3260 |             pandas.core.computation.scope
import time:      1743 |       5002 |           pandas.core.computation.ops
import time:      1049 |       8995 |         pandas.core.computation.engines
import time:      1155 |       1155 |           pandas.core.computation.parsing
import time:      2824 |       3979 |         pandas.core.computation.expr
import time:      1194 |      14167 |       pandas.core.computation.eval
import time:      1366 |      15532 |     pandas.core.computation.api
import time:      1591 |       1591 |       pandas.core.reshape.encoding
import time:      1576 |       1576 |           _uuid
import time:      1872 |       3448 |         uuid
import time:      2440 |       5888 |       pandas.core.reshape.merge
import time:      2402 |       2402 |       pandas.core.reshape.pivot
import time:      1848 |       1848 |       pandas.core.reshape.tile
import time:      1589 |      13316 |     pandas.core.reshape.api
import time:      1180 |       1180 |       pandas.api.executors
import time:       871 |        871 |       pandas.api.extensions
import time:      1216 |       1216 |       pandas.api.indexers
import time:      2077 |       2077 |           pandas.core.interchange
import time:      3092 |       5169 |         pandas.core.interchange.dataframe_protocol
import time:      1082 |       1082 |           pandas.core.interchange.utils
import time:      1552 |       2634 |         pandas.core.interchange.from_dataframe
import time:      1187 |       8989 |       pandas.api.interchange
import time:       833 |        833 |         pandas.core.dtypes.api
import time:      1012 |       1845 |       pandas.api.types
import time:      2774 |       2774 |         pandas.core.resample
import time:       947 |        947 |               pandas._libs.json
import time:      1095 |       1095 |               pandas.io.json._normalize
import time:      1147 |       1147 |               pandas.io.json._table_schema
import time:      1886 |       1886 |                     pandas._libs.parsers
import time:      1871 |       1871 |                       pandas.io.parsers.base_parser
import time:      1329 |       3200 |                     pandas.io.parsers.arrow_parser_wrapper
import time:      1604 |       1604 |                     pandas.io.parsers.c_parser_wrapper
import time:      2049 |       2049 |                     pandas.io.parsers.python_parser
import time:      2720 |      11457 |                   pandas.io.parsers.readers
import time:      1587 |      13043 |                 pandas.io.parsers
import time:        90 |      13132 |               pandas.io.parsers.readers
import time:      2283 |      18603 |             pandas.io.json._json
import time:      1212 |      19814 |           pandas.io.json
import time:        72 |      19886 |         pandas.io.json._json
import time:      1405 |       1405 |             pandas.io.sas.sasreader
import time:      1298 |       2703 |           pandas.io.sas
import time:        66 |       2768 |         pandas.io.sas.sasreader
import time:      4627 |       4627 |         pandas.io.stata
import time:      1629 |      31682 |       pandas.api.typing
import time:      1449 |      47228 |     pandas.api
import time:      1690 |       1690 |           concurrent
import time:      1960 |       1960 |           concurrent.futures._base
import time:      1467 |       5115 |         concurrent.futures
import time:       297 |        297 |               _heapq
import time:      1356 |       1653 |             heapq
import time:      1369 |       1369 |             _queue
import time:      2364 |       5384 |           queue
import time:      1679 |       7063 |         concurrent.futures.thread
import time:      1389 |       1389 |         pandas._testing._io
import time:      1514 |       1514 |         pandas._testing._warnings
import time:       124 |        124 |             cmath
import time:      1232 |       1355 |           pandas._libs.testing
import time:      3016 |       4371 |         pandas._testing.asserters
import time:      1331 |       1331 |         pandas._testing.compat
import time:      1600 |       1600 |         pandas._testing.contexts
import time:      2201 |      24582 |       pandas._testing
import time:      1316 |      25898 |     pandas.testing
import time:      1894 |       1894 |     pandas.util._print_versions
import time:      2444 |       2444 |       pandas.io.clipboards
import time:      1147 |       1147 |           pandas.io.excel._util
import time:      1650 |       1650 |           pandas.io.excel._calamine
import time:      1836 |       1836 |           pandas.io.excel._odfreader
import time:      1685 |       1685 |           pandas.io.excel._openpyxl
import time:      1209 |       1209 |           pandas.io.excel._pyxlsb
import time:      1386 |       1386 |           pandas.io.excel._xlrd
import time:      2814 |      11725 |         pandas.io.excel._base
import time:      1499 |       1499 |         pandas.io.excel._odswriter
import time:      1699 |       1699 |         pandas.io.excel._xlsxwriter
import time:      1993 |      16915 |       pandas.io.excel
import time:      2333 |       2333 |       pandas.io.feather_format
import time:      2375 |       2375 |       pandas.io.html
import time:      1529 |       1529 |       pandas.io.iceberg
import time:      1158 |       1158 |       pandas.io.orc
import time:      1400 |       1400 |       pandas.io.parquet
import time:      1794 |       1794 |         pandas.compat.pickle_compat
import time:      2009 |       3803 |       pandas.io.pickle
import time:      4006 |       4006 |         pandas.core.computation.pytables
import time:      6532 |      10537 |       pandas.io.pytables
